/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:2.4 VALID_CPI:1.6 CYCLES:2287 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2227 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:2.6 VALID_CPI:1.7 CYCLES:2527 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:2.5 VALID_CPI:1.6 CYCLES:2407 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:2.5 VALID_CPI:1.6 CYCLES:2407 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.6 VALID_CPI:1.7 CYCLES:2539 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2239 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:2.5 VALID_CPI:1.6 CYCLES:2383 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2251 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2227 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
